"Seadu-sereanr";"NA";"Liik";"Konto";"Objektikood";"COFOG";"NA";"2016.ariigieelarveseadus";"NA";"NA";"NA"
NA;NA;"RIIGIEELARVE KOKKU";NA;NA;NA;NA;NA;NA;NA;NA
"1";NA;"TULUD KOKKU";NA;NA;NA;NA;"8 836 132 814";NA;NA;NA
"2";NA;NA;"3";NA;NA;"Tegevustulud";"8 646 648 186";NA;NA;NA
"3";NA;NA;"30";NA;NA;"Maksud ja sotsiaalkindlustusmaksed";"7 499 424 820";NA;NA;NA
"4";NA;NA;"32";NA;NA;"Kaupade ja teenuste müük";"163 262 899";NA;NA;NA
"5";NA;NA;"320";NA;NA;"Riigilõivud";"66 091 444";NA;NA;NA
"6";NA;NA;"322";NA;NA;"Tulu majandustegevusest";"39 176 471";NA;NA;NA
"7";NA;NA;"323";NA;NA;"Muu kaupade ja teenuste müük";"57 994 985";NA;NA;NA
"8";NA;NA;"35";NA;NA;"Saadud toetused";"821 909 638";NA;NA;NA
"9";NA;NA;"358";NA;NA;"Saadud kodumaised toetused";"1 838 309";NA;NA;NA
"10";NA;NA;"359";NA;NA;"Saadud välistoetused";"820 071 329";NA;NA;NA
"11";NA;NA;"38";NA;NA;"Muud tulud";"162 050 829";NA;NA;NA
"12";NA;NA;"381";NA;NA;"Tulud varude ja põhivara müügist";"16 857 950";NA;NA;NA
"13";NA;NA;"382";NA;NA;"Muud tulud varadelt";"10 866 048";NA;NA;NA
"14";NA;NA;"383";NA;NA;"Trahvid ja muud varalised karistused";"16 418 903";NA;NA;NA
"15";NA;NA;"388";NA;NA;"Muud eelpool nimetamata tulud";"117 907 928";NA;NA;NA
"16";NA;NA;"655";NA;NA;"Finantstulud";"189 484 628";NA;NA;NA
"17";NA;"Konsolideerimisgrupi tulud";NA;NA;NA;NA;"2 864 844 667";NA;NA;NA
"18";NA;"70                                                          sealhulgas saadud siirded riigiasutustelt";NA;NA;NA;NA;"70 342 149";NA;NA;NA
"19";NA;"KULUD JA INVESTEERINGUD KOKKU";NA;NA;NA;NA;"-8 922 105 298";NA;NA;NA
"20";NA;NA;NA;NA;1;"Üldised valitsussektori teenused";"-1 609 599 258";NA;NA;NA
