pealkiri;nimetus
Kalapüügiseadus;Kutselise kalapüügilubade menetlemine
Kalapüügiseadus;Kutselise kalapüügivõimaluste jaotamine
Kalapüügiga seonduvate andmete esitamise kord;Kutselise kalapüügiga seonduvate andmete kogumine
Kalalaevade riikliku registri asutamine ja registri pidamise põhimäärus1;Kalalaevade riikliku registriga seonduvad teenused ja kalalaevatunnistuste andmine
Kalapüügiga seonduvate andmete esitamise kord;Kalanduse infosüsteemi ja elektroonilise raporteerimise süsteemi (ERS) kliendirakenduse kaudu osutatavad teenused
„Euroopa Merendus- ja Kalandusfondi rakenduskava 2014–2020” tehnilise abi toetus;Euroopa Merendus- ja Kalandusfondi (EMKF) kontrolli ja õigusnormide täitmise tagamise, andmete kogumise ja integreeritud merenduspoliitika meetmetega seonduvad tegevused
Riigivaraseadus;Näituste korraldamine
Rannarootsi Muuseumi põhimäärus;Infopäringute esitamine
Isikuandmete kaitse seadus1;Delikaatsete isikuandmete töötlemise registreerimise taotlemine
Isikuandmete kaitse seadus1;Isikuandmete kaitse eest vastutava isiku määramisest teatamine
Isikuandmete kaitse seadus1;Teadusuuringu või riikliku statistika vajaduseks andmesubjekti nõusolekuta isikuandmete töötlemise loa taotlemine
Isikuandmete kaitse seadus1;Ebapiisava andmekaitse tasemega välisriiki isikuandmete edastamise loa taotlemine
Elektroonilise side seadus1;Isikuandmetega seotud rikkumisest teavitamine (sideettevõtja)
Euroopa Parlamendi ja nõukogu määruse (EL) nr 211/2011 „Kodanikualgatuse kohta” rakendamise seadus;Kodanikualgatuse veebipõhise toetusavalduste kogumise süsteemile esitatavate turvanõuete kontrollimise taotlemine
Avaliku teabe seadus1;Teabenõue
Avaliku teabe seadus1;Teabenõue
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Selgitustaotlus
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Märgukiri
Haldusmenetluse seadus;Taotlus järelvalvemenetluse algatamiseks
Isikuandmete kaitse seadus1;Taotlus järelvalvemenetluse algatamiseks
Elektroonilise side seadus1;Taotlus järelvalvemenetluse algatamiseks
Avaliku teabe seadus1;Vaie
Isikuandmete kaitse seadus1;Vaie
Haldusmenetluse seadus;Vaie
Elektroonilise side seadus1;Vaie
Avaliku teabe seadus1;Vaie
Isikuandmete kaitse seadus1;Delikaatsete isikuandmete töötlejate register avaandmetena
Avaliku teabe seadus1;Delikaatsete isikuandmete töötlejate register avaandmetena
Avaliku teabe seadus1;Delikaatsete isikuandmete töötlejate register avaandmetena
Avaliku teabe seadus1;Määratud isikuandmete kaitse eest vastutavad isikud, avaandmetena
Avaliku teabe seadus1;Määratud isikuandmete kaitse eest vastutavad isikud, avaandmetena
Isikuandmete kaitse seadus1;Määratud isikuandmete kaitse eest vastutavad isikud, avaandmetena
Andmekaitse Inspektsiooni põhimäärus ja koosseis[RT I, 18.07.2012, 1 - jõust. 21.07.2012] ;Nõuande telefon
Avaliku teabe seadus1;Avalik dokumendiregister
Sotsiaalhoolekande seadus;Sotsiaalne rehabilitatsioon
Tööturuteenuste ja -toetuste seadus1;Tööalane rehabilitatsioon
Astangu Kutserehabilitatsiooni Keskuse põhimäärus;Kaitstud töö erivajadustega inimestele
Astangu Kutserehabilitatsiooni Keskuse põhimäärus;Kohanemiskursused erivajadustega inimestele erialavaliku toetamiseks ja igapäevaeluoskuste õppeks
Täiskasvanute koolituse seadus;Kohanemiskursused erivajadustega inimestele erialavaliku toetamiseks ja igapäevaeluoskuste õppeks
Astangu Kutserehabilitatsiooni Keskuse põhimäärus;Tööõppekursused erivajadustega inimestele
Täiskasvanute koolituse seadus;Tööõppekursused erivajadustega inimestele
Astangu Kutserehabilitatsiooni Keskuse põhimäärus;Kutseõpe erivajadustega inimestele
Eesti Kohtuekspertiisi Instituudi põhimäärus;Teabenõude esitamine
Eesti Kunstimuuseumi põhimäärus;Eesti Kunstimuuseumi digitaalkogu ja fotoarhiivi vaatamine, kõrglahutusfailide tellimine
Eesti Kunstimuuseumi põhimäärus;Eesti Kunstimuuseumi (Kumu, Kadrioru, Niguliste, Mikkeli ja Adamson-Ericu muuseumi) infoteenused
Eesti Kunstimuuseumi põhimäärus;Eesti Kunstimuuseumi e-pood
Natura 2000 alal asuva erametsamaa kohta antav toetus;Natura erametsa toetus
Noorsootöö seadus;Osalemine noortevaldkonna projektikonkurssidel
Hasartmängumaksu seadus;Noortelaagrite korraldamine
Noorsootöö seadus;Noortelaagrite korraldamine
Tervisekaitsenõuded noorte püsilaagritele;Noortelaagrite korraldamine
Noortelaagri ning projektlaagri juhataja ja kasvataja kvalifikatsiooninõuded ning neile vastavuse tõendamise kord;Noortelaagrite korraldamine
Hasartmängumaksu laekumistest toetuste taotlemise, andmise, kasutamise ning tagasinõudmise tingimused ja kord;Noortelaagrite korraldamine
Noorsootöö seadus;Noorsootöötajate koolitamine
Noorsootöö seadus;Noorsootöötaja kutse andmine
Kutseseadus;Noorsootöötaja kutse andmine
Lastekaitseseadus;Laagritegevuse noorsootöö seadusele vastavuse hindamine
Noorsootöö seadus;Laagritegevuse noorsootöö seadusele vastavuse hindamine
Noorsootöö seadus;Püsi- ja projektilaagrite toetamine
Töölepingu seadus;Noortemalevate toetamine
Noorsootöö seadus;Noortemalevate toetamine
Noorsootöö seadus;Noorteühingute toetamine
Huvikooli seadus;Huvikoolide toetamine
Noorsootöö seadus;Huvikoolide toetamine
Noorsootöö seadus;Noortelaagri teenus
Kaubamärgiseadus1;Kaubamärgi registreerimise taotluse esitamine
Kaubamärgimäärus;Kaubamärgi registreerimise taotluse esitamine
Patenditaotluse sisu- ja vorminõuded ning Patendiametile esitamise kord1;Patenditaotluse esitamine
Patendiseadus1;Patenditaotluse esitamine
Kasuliku mudeli seadus;Kasuliku mudeli registreerimise taotluse esitamine
Kasuliku mudeli registreerimise taotluse sisu- ja vorminõuded ning Patendiametile esitamise kord;Kasuliku mudeli registreerimise taotluse esitamine
Tööstusdisaini kaitse seadus;Tööstusdisainilahenduse registreerimise taotluse esitamine
Tööstusdisainilahenduse määrus;Tööstusdisainilahenduse registreerimise taotluse esitamine
Euroopa patentide väljaandmise konventsiooni kohaldamise seadus;Euroopa patendi jõustamise taotluse esitamine
Euroopa patenditaotluse Eesti Patendiametile esitamise ja Euroopa Patendiametile edastamise, Euroopa patenditaotluse patendinõudluse ja patendikirjelduse tõlke esitamise ja avalikustamise ning Euroopa patenditaotluse siseriiklikuks patenditaotluseks ja kasuliku mudeli registreerimise taotluseks muutmise kord;Euroopa patendi jõustamise taotluse esitamine
Patendiseadus1;Päringute esitamine Eesti patenditaotluste ja patentide andmebaasi
Euroopa patentide väljaandmise konventsiooni kohaldamise seadus;Päringute esitamine Eestis jõustamiseks esitatud Euroopa patentide andmebaasi
Kasuliku mudeli seadus;Päringute esitamine Patendiameti kasulike mudelite andmebaasi
Kasulike mudelite registriga tutvumise ja registrist teabe väljastamise kord;Päringute esitamine Patendiameti kasulike mudelite andmebaasi
Kaubamärgimäärus;Päringute esitamine Patendiameti kaubamärkide andmebaasi
Tööstusdisainilahenduse määrus;Päringute esitamine Patendiameti tööstusdisainilahenduste andmebaasi
Riiklik geograafiliste tähiste register;Päringute esitamine Patendiameti geograafiliste tähiste andmebaasi
Kaubamärgiseadus1;Kaubamärgi omaniku andmete muutmine
Avaliku teabe seadus1;Teabenõude esitamine Patendiametile
Märgukirjale ja selgitustaotlusele vastamise ning kollektiivse pöördumise esitamise seadus[RT I, 01.04.2014, 1 - jõust. 11.04.2014] ;Teabenõude esitamine Patendiametile
Kaubamärgiseadus1;Kaubamärgi omaniku andmete (nime ja/või aadressi) muutmine
Kaubamärgimäärus;Kaubamärgi omaniku andmete (nime ja/või aadressi) muutmine
Kaubamärgiseadus1;Kaubamärgi registreeringu kehtivusaja pikendamine
Kaubamärgimäärus;Kaubamärgi registreeringu kehtivusaja pikendamine
Kaubamärgimäärus;Kaubamärgiõiguste võõrandamise ja ülemineku registrisse kandmise taotlemine
Kaubamärgiseadus1;Kaubamärgiõiguste võõrandamise ja ülemineku registrisse kandmise taotlemine
Tööstusdisaini kaitse seadus;Tööstusdisainilahenduse omaniku andmete (nime ja/või aadressi) muutmine
Tööstusdisainilahenduse määrus;Tööstusdisainilahenduse omaniku andmete (nime ja/või aadressi) muutmine
Tööstusdisaini kaitse seadus;Tööstusdisainilahenduse registreeringu kehtivusaja pikendamine
Tööstusdisainilahenduse määrus;Tööstusdisainilahenduse registreeringu kehtivusaja pikendamine
Tööstusdisainilahenduse määrus;Tööstusdisainilahenduse õiguste võõrandamise ja ülemineku registrisse kandmise taotlemine
Tööstusdisaini kaitse seadus;Tööstusdisainilahenduse õiguste võõrandamise ja ülemineku registrisse kandmise taotlemine
Avaliku teabe seadus1;Dokumentidele juurdepääsu korraldamine
Patendiameti põhimäärus;Konsultatsioonid patenditaotluse ja kasuliku mudeli taotluse vormistamisega seotud küsimustes
Patendiameti põhimäärus;Konsultatsioonid kaubamärkide registreeritavuse ja õiguskaitse küsimustes
Patendiameti põhimäärus;Konsultatsioonid tööstusdisaini registreerimist puudutavates küsimustes
Patendiameti põhimäärus;Infopäringutele vastamine
Eesti Põllumajandusmuuseumi põhimäärus;Püsiekspositsioonide külastamine
Muuseumiseadus;Püsiekspositsioonide külastamine
Eesti Põllumajandusmuuseumi põhimäärus;Giiditeenuse tellimine
Muuseumiseadus;Giiditeenuse tellimine
Eesti Põllumajandusmuuseumi põhimäärus;Haridusprogrammides osalemine
Muuseumiseadus;Haridusprogrammides osalemine
Muuseumiseadus;Tähtpäevaprogrammides osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Tähtpäevaprogrammides osalemine
Muuseumiseadus;Suurüritustel osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Suurüritustel osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Kursustel osalemine
Muuseumiseadus;Kursustel osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Muuseumikogude kasutamine
Muuseumiseadus;Muuseumikogude kasutamine
Eesti Põllumajandusmuuseumi põhimäärus;Teadussündmustel osalemine
Muuseumiseadus;Teadussündmustel osalemine
Muuseumiseadus;Kogumistöös osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Kogumistöös osalemine
Eesti Põllumajandusmuuseumi põhimäärus;Ajutiste näituste külastamine
Muuseumiseadus;Ajutiste näituste külastamine
Muuseumiseadus;Muuseumi laudas elavate loomade külastamine
Eesti Põllumajandusmuuseumi põhimäärus;Muuseumi laudas elavate loomade külastamine
Muuseumiseadus;Muuseumi poolt välja antavate trükiste tellimine
Eesti Põllumajandusmuuseumi põhimäärus;Muuseumi poolt välja antavate trükiste tellimine
Muuseumiseadus;Tähtpäevaprogrammide tellimine
Eesti Põllumajandusmuuseumi põhimäärus;Tähtpäevaprogrammide tellimine
Eesti Rahva Muuseumi põhimäärus;Eesti Rahva Muuseumi infoteenus
Eesti Rahva Muuseumi põhimäärus;Eesti Rahva Muuseumi e-pood
Meediateenuste seadus1;ETV
Eesti Rahvusringhäälingu seadus;ETV
Meediateenuste seadus1;ETV2
Eesti Rahvusringhäälingu seadus;ETV2
Eesti Rahvusringhäälingu seadus;ETV+
Meediateenuste seadus1;ETV+
Eesti Rahvusringhäälingu seadus;Vikerraadio
Meediateenuste seadus1;Vikerraadio
Eesti Rahvusringhäälingu seadus;Klassikaraadio
Meediateenuste seadus1;Klassikaraadio
Meediateenuste seadus1;Raadio 2
Eesti Rahvusringhäälingu seadus;Raadio 2
Eesti Rahvusringhäälingu seadus;Raadio 4
Meediateenuste seadus1;Raadio 4
Meediateenuste seadus1;Raadioteater
Eesti Rahvusringhäälingu seadus;Raadioteater
Eesti Rahvusringhäälingu seadus;Portaal ERR.ee
Meediateenuste seadus1;Portaal ERR.ee
Eesti Rahvusringhäälingu seadus;Raadio Tallinn
Meediateenuste seadus1;Raadio Tallinn
Meediateenuste seadus1;ERRi saate/salvestise koopia tellimine
Eesti Rahvusringhäälingu seadus;ERRi saate/salvestise koopia tellimine
Eesti Rahvusringhäälingu seadus;ERR pood
Meediateenuste seadus1;ERR pood
Eesti Rahvusringhäälingu seadus;Kostüümilaenutus
Meediateenuste seadus1;Kostüümilaenutus
Eesti Rahvusringhäälingu seadus;Telestuudiote ja -tehnika rent
Meediateenuste seadus1;Telestuudiote ja -tehnika rent
Eesti Sõjamuuseum – kindral Laidoneri muuseumi põhimäärus;Sõjamuuseumi pood
Eesti Sõjamuuseum – kindral Laidoneri muuseumi põhimäärus;Sõjahaudade register
Eesti Sõjamuuseum – kindral Laidoneri muuseumi põhimäärus;Eesti ohvitserid 1918-1940
Teadus- ja arendustegevuse korralduse seadus;Teabe levitamine ja taotlejate nõustamine teadus- ja arendusvaldkonnas
Teadus- ja arendustegevuse korralduse seadus;Teadus- ja arendustegevuse riiklike toetuste taotlemine
Teadus- ja arendustegevuse korralduse seadus;Teadusrahastuse statistika ja uurimistoetuste kasutamise tulemuslikkuse ning mõjuanalüüside avaldamine
Teadus- ja arendustegevuse korralduse seadus;Teadus- ja arendustegevuse struktuuritoetuste taotlemine
Teadus- ja arendustegevuse korralduse seadus;Teadus- ja arendustegevuse rahvusvaheliste toetuste taotlemine
Teadus- ja arendustegevuse korralduse seadus;Õpetajate koolitamine õpilaste uurimistööde ja leiutamise juhendamiseks
Teadus- ja arendustegevuse korralduse seadus;Rahvusvaheliste teadus- ja innovatsiooniprojektides osalejate koolitamine ja nõustamine
Teadus- ja arendustegevuse korralduse seadus;Välisteadlaste nõustamine ja koolitamine
Teadus- ja arendustegevuse korralduse seadus;Eesti Teadusinfosüsteemi (ETIS) kasutajatugi
Eesti Teadusinfosüsteemi asutamine ja selle pidamise põhimäärus;Eesti Teadusinfosüsteemi (ETIS) kasutajatugi
Teadus- ja arendustegevuse korralduse seadus;Osalemine õpilaste ja üliõpilaste riiklikel teadusalastel konkurssidel
Eesti Tarbekunsti- ja Disainimuuseumi põhimäärus;Eesti Tarbekunsti- ja Disainimuuseumi interaktiivne info muuseumi, näituste, sündmuste, ürituste ja haridusprogrammide kohta
Eesti Tarbekunsti- ja Disainimuuseumi põhimäärus;Eesti Tarbekunsti- ja Disainimuuseumi fotopank
Eesti Taimekasvatuse Instituudi põhimäärus;Uute teadusuuringute tulemuste jagamine
Riigilõivuseadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
Nimeseadus;Abielu registreerimine
Perekonnaseadus;Abielu registreerimine
Perekonnaseisutoimingute seadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Abielu lahutamine
Nimeseadus;Abielu lahutamine
Perekonnaseadus;Abielu lahutamine
Perekonnaseisutoimingute seadus;Sünni registreerimine
Rahvastikuregistri seadus;Sünni registreerimine
Nimeseadus;Sünni registreerimine
Perekonnaseadus;Sünni registreerimine
Perekonnaseadus;Surma registreerimine
Rahvastikuregistri seadus;Surma registreerimine
Perekonnaseisutoimingute seadus;Surma registreerimine
Riigilõivuseadus;Uue nime andmine
Nimeseadus;Uue nime andmine
Rahvastikuregistri seadus;Uue nime andmine
Rahvastikuregistri seadus;Andmete parandamine ja muutmine
Perekonnaseadus;Andmete parandamine ja muutmine
Nimeseadus;Andmete parandamine ja muutmine
Perekonnaseisutoimingute seadus;Andmete parandamine ja muutmine
Riigilõivuseadus;Perekonnaseisutõendite ja registriväljavõtete väljastamine
Perekonnaseisutoimingute seadus;Perekonnaseisutõendite ja registriväljavõtete väljastamine
Rahvastikuregistri seadus;Perekonnaseisutõendite ja registriväljavõtete väljastamine
Perekonnaseisutoimingute seadus;Abieluvõimetõendi väljastamine
Rahvastikuregistri seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Perekonnaseisutoimingute seadus;Välisriigi perekonnaseisudokumendi kandmine registrisse
Tsiviilkohtumenetluse seadustik;Lapsendamine
Perekonnaseadus;Lapsendamine
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine hüpoteegiga koormatud kinnistu jagamiseks
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine hüpoteegiga koormatud kinnistu jagamiseks
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine hüpoteegiga koormatud kinnistu jagamiseks
Maareformi seadus;Avalduste läbivaatamine hüpoteegiga koormatud kinnistu jagamiseks
Maa ostueesõigusega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maa enampakkumisega erastamise korra kinnitamine;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks seatud hüpoteegi kustutamine
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Riigi kasuks seatud hüpoteegi kustutamine
Maareformi seadus;Riigi kasuks hüpoteegiga koormatud kinnistu raiemahu kooskõlastamine
Maa ostueesõigusega erastamise korra kinnitamine;Avalduste läbivaatamine hüpoteegiga tagatud võlakohustuse ülevõtmiseks
Maareformi seadus;Avalduste läbivaatamine hüpoteegiga tagatud võlakohustuse ülevõtmiseks
«Maareformi seaduse» paragrahvides 23¹ ja 23² sätestatud vaba põllumajandus- ja metsamaa erastamise kord;Avalduste läbivaatamine hüpoteegiga tagatud võlakohustuse ülevõtmiseks
Maa enampakkumisega erastamise korra kinnitamine;Avalduste läbivaatamine hüpoteegiga tagatud võlakohustuse ülevõtmiseks
Harjumaa muuseumi põhimäärus;Harjumaa Muuseumi infoteenused
Perekonnaseadus;Abielu registreerimine
Rahvastikuregistri seadus;Abielu registreerimine
